Session ID,Date started,"Imagine you are writing a complaint letter to the head of Walmart...in detail, tell us the things you would complain about and why they matter?",What do you think Target does better than Walmart?,What do you LOVE most about Walmart?,Gender,Age group,State,Who does it better? Target or Walmart?
94f2d4c3-b513-411c-b505-a11290b3f0f5,10/02/2022 01:03,"The customer service that your company gives is horrible and tacky. Your company has no morality or empathy for it's customers 
All you care about is profits over customer.",Their overall approach to customers and the benefits of supporting the community and it's employees.,There's nothing I LOVE about Walmart.,Male,45-54,Texas,Target
1797c6f2-c501-44b7-b549-a33c29224edc,10/02/2022 01:03,I would complain about how more registers need to be available throughout the day.,,I love the diversity of products that they offer.,Female,18-24,Texas,Walmart
20e1a746-8311-450b-ba54-62d15f940a66,10/02/2022 01:03,Why do you quit taking cash at the 8-checkout and don't blame it on a coin shortage that's no excuse your stores too big for it you act like you're doing it some type of conspiracy got to be shamed of yourself,Target still has a snack bar unlike Walmart,"The employees. They try when 
You finely hnt one down.",Male,55-64,Texas,Target
234eb679-ffb8-4e5e-a45a-e50a7c2c4bde,10/02/2022 01:03,You don't just go into Walmart and run out for a long time and there's always more things going on in what you eventually go there for so a chore,,In the small town that I live in Walmart is not just a place to shop but it's also place to go socialize,Male,35-44,Texas,Walmart
511293b3-42e1-4712-a3a9-8838e0044e6f,10/02/2022 01:03,East Waco needs a Walmart neighborhood grocery store,,The low price,Male,25-34,Texas,Walmart
577ab489-2682-4ad6-83cf-9651d6c37c2c,10/02/2022 01:03,I would complain that there is such a long line at self checkout while there are so many unmanned unused registers to check out ar.,The environment in which to shop at Target is less anxiety and more relaxed,Low prices,Male,45-54,Texas,Target
61ec949f-9ad8-4700-96ad-d6896cc27c9f,10/02/2022 01:03,No complaints,,Quick and easy,Male,18-24,Texas,Walmart
a7d42a00-abe3-47a0-98aa-7c514e9a47f1,10/02/2022 01:03,"Lack of sustainability, abuse of employees & factory workers, corporate greed

They are hurting the environment by being wasteful and abusing others too manufacture cheap goods. They further the wage gap by not paying enough""",It at least supports LGBTQ rights and pays better,It's in my town,Female,25-34,Texas,Target
b8b83b3c-948f-44d9-b2d6-1d7b1fbe743c,10/02/2022 01:03,Thy stop selling wild berry Skittles,,The candy IAL,Male,35-44,Texas,Walmart
f6b496b3-d246-421f-bcab-6b21e4e1cdc0,10/02/2022 01:03,Hi this is Stephanie I'm writing this letter to show you what needs to be improved quickly well I think you should hire more workers so the lines could go quicker and to put out more different things to shop for that you like,The thing that I target does better is they also have a food court in side of there store and a Starbucks plus it's a much bigger and wider store,The best thing I love about Walmart is they have really nice workers and they have cheap prices with everything that they sell and I love there hours of the day and night it's my favriote store to shop for things I really need and for grocercies,Female,35-44,Texas,Target
fe113279-15b8-4f66-8cc7-72a4d900b95d,10/02/2022 01:03,The stores really need to be ran a little better when it comes to cleanliness. Today with the pandemic it is of utmost importance to keep clean.,The stores are cleaner and more organized.,It is very convinient. There app has everything that I need and the delivery fees are little to none whatsoever. Also their app is easy to navigate.,Male,25-34,Texas,Target
8ca41709-04dc-4665-b1e5-763359918649,10/02/2022 01:03,The most thing I will complain will be Walmart management sometimes they are rushing or they take for ever but it's understanding because they have a big Walmart to run,,That is cheap they have good stuff and friendly people,Male,45-54,Texas,Walmart
b2749b99-28b1-43a1-87eb-eedf0278e62d,10/02/2022 01:03,Great store keep up the good work,,The employees and has everything needed,Male,18-24,Texas,Walmart
b7420340-7dd0-4a00-b7ad-075b333644ee,10/02/2022 01:03,"My biggest complaint is the lack of non self checkout registers. If I am going to be forced to use the self checkout lane due to regular checkout lanes being closed, I should get a good discount since I am doing the work of the cashier.""",,Good variety and price.,Male,45-54,Texas,Walmart
cfb676d0-ce48-4a98-8cfa-ce02d1b9b521,10/02/2022 01:03,Not everybodys rich and can give too much detail. I'm a robot.,,Always so friendly and pay attention to customers needs. And always plenty of workers.,Male,25-34,Texas,Walmart
0e307185-0c9a-4a3d-8574-5dda17b6fed7,10/02/2022 01:03,the customer service and assistance can suck,,versatility,Female,18-24,Texas,Walmart
10b8a26f-ee5c-40ad-84fc-c279dc084816,10/02/2022 01:03,Why are there so many check out lines and only 1 is open other than the self checkout,,1 stop an shop,Male,35-44,Texas,Walmart
18688d9a-4a08-4147-830b-b969d040a37e,10/02/2022 01:03,"Dear Walmart I am complaining about the awful service I have recently received during my visit, I believe great customers service is highly required for satisfactory experience so people are willing to come back 100%.""",,Prices/ quality,Female,18-24,Texas,Walmart
4264ccf6-2239-4241-a373-14f58398a1e7,10/02/2022 01:03,Wouldn't write a complaint letter.,,Prices,Female,45-54,Texas,Walmart
5ec89a50-0516-40d2-8d6c-f74fd3723285,10/02/2022 01:03,Grate value,,The prices,Male,25-34,Texas,Walmart
94b03e4e-4f24-4396-aa60-befb84a36235,10/02/2022 01:03,I really wouldn't have much to complain about except I wish the would open back up 24 hours,,Their great selections,Female,45-54,Texas,Walmart
eed5f828-f82b-4570-8809-6ddccfeca887,10/02/2022 01:03,Your staff is angry at the world and don't want to help the patrons,,How they have a surplus on items.  Rarely out of what I need,Female,35-44,Texas,Walmart
4c1ff793-d3b0-49aa-9e76-b420a824b981,10/02/2022 01:02,"To whom it may concern, I am running today concerning a complaint. My complaint is your stores very unorganized and you are constantly moving things around. The problem with this is is that I can never find what I'm looking for in a timely manner""",,The always low prices,Female,35-44,Texas,Walmart
77ac2c81-bbcb-43ca-9133-0ac96c9ecc74,10/02/2022 01:02,"Not really much to complain about, just depends on customer service at different locations""",,Prices are low,Male,18-24,Texas,Walmart
05eba425-4d23-4916-ab40-9a0e9bb7d45b,10/02/2022 01:02,I wish yall had more HUMAN check out registers and less self check out. It gets too cloggy with stupid people and you only have one attendant per 4 check out.,,It's prices,Female,25-34,Texas,Walmart
68b46f04-7bc0-4f27-aad2-7937b38c9dda,10/02/2022 01:02,Please clean the stores better and disinfect better and have employees smile more üòä and keep prices low,,Prices are good,Male,55-64,Texas,Walmart
9281cece-73b3-4c92-b58d-a63cfd24cd2d,10/02/2022 01:02,Better people working there,,They have a wide quality of product.,Female,45-54,Texas,Walmart
4c94e403-ebf6-49f8-9ff4-e86fa633db40,10/02/2022 01:02,"Stores are not as well organized as they should be, merchandise selection quality is questionable""","Nicer stores, better merchandise, personnel, and more refined customers.",There are some products that are difficult to find elsewhere,Male,,Texas,Target
e3a9d026-9492-4feb-982c-ed95cf20018e,10/02/2022 01:02,"If I were to write a complaint letter I am not sure what I would complain about, because I am very happy with the store.""",I thing Target is a bit clean and high class.,I love the wide variety and array of products that they have. From groceries to home supplies to cleaning products! I love it!,Female,25-34,Texas,Target
392da6b5-8e23-4562-b3e7-3382bca96ff9,10/02/2022 01:00,You need to be open longer hours,,They have high quality and low prices,Male,65-74,Texas,Walmart
5d00b3f3-c0fa-4242-a91a-71b3d2c1f8a1,10/02/2022 01:00,"lot of items are not in stock on fairly regular basis, and a number of items have had fairly steep rise in prices.  often need to try to go to another of your stores to get items not in my nearest walmart.""",,everyday low prices,Male,65-74,Texas,Walmart
8fcd1138-6f10-46e1-975f-407963489f2f,10/02/2022 01:00,"I would complain about the often poor maintenance of the store, and the lack of monitoring and security on the people and items in the store.""","Target, although more expensive, has much higher quality items and better security in their brand.",I like the reasonable prices of the products and the accessibility for all.,Female,18-24,Texas,Target
9108adb5-258a-48e9-9192-0d4321438b67,10/02/2022 01:00,i donno,its awesome,its awesome,Male,25-34,Texas,Target
97600a69-192b-4d64-9ae1-40a294e4b7f2,10/02/2022 01:00,That will be the bathroom they could be more clean. Normally they are ok.,,"That I can find almost everything there, good variety, great prices and there are always one nearby",Female,35-44,Texas,Walmart
cdd5bd8b-d1ae-4ea1-807d-4eb53b5c5dd8,10/02/2022 01:00,I hate that yall have 30 registers and only 1 open.,Rich Walmart,Love the different people that work there.,Male,45-54,Texas,Target
